QUERY,DOC_ID
A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.,2813
A low percentage of hematopoietic progenitor cells are susceptible to HIV-1 infection ex vivo.,1317
A mutation in HNF4A leads to an increased risk of developing diabetes by the age of 14 years.,5054
A mutation in HNF4A leads to an increased risk of diabetes by the age of 14 years.,5054
A single nucleotide variant the gene DGKK is strongly associated with increased risk of hypospadias.,72
A strong bias in the phage genome locations where the spacers were derived has been observed in many CRISPR subtypes that confer the immunity to phage.,622
ALDH1 expression is associated with poorer prognosis for breast cancer primary tumors.,4967
AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.,5013
APOE4 expression in iPSC-derived neurons results in decreased tau phosphorylation.,917
ART has no effect on the infectiveness of HIV-positive people.,2271
ART substantially reduces infectiveness of HIV-positive people.,2271
ATF4 is a general endoplasmic reticulum stress marker.,4288
ATM and Rad3 related protein are critical for sensing DNA damage.,4729
ATM and Rad3 related protein have no role in sensing DNA damage.,4729
AZT given with ribavirin increases anemia.,2436
Activated Cdk5 phosphorylates the ATM protein in response to DNA damage.,3162
Activated Cdk5 regulates DNA damage-induced neuronal death.,3162
Activation of PPM1D enhances p53 function.,1102
Activation of the Rac1 homolog CED-10 kills viable cells in SRGP-1 mutant Caenorhabditis elegans.,201
Activator-inhibitor pairs are provided ventrally by Xrl-sizzled.,1115
Active H. pylori urease has a polymeric structure consisting of five distinct subunits.,786
Active Ly49Q induces neutrophil polarization.,1037
Active Ly49Q prevents neutrophil polarization.,1037
Active caspase-11 participate in regulating phagosome-lysosome fusion.,964
Active caspase-11 protein promotes pyroptosis.,964
Acute ablation of KRAS causes severe growth impairment.,944
Acute ablation of Snail in the embryonic cortex affects the proliferation and number of embryonic cortical precursors.,327
Addition of BMP4  activin A  CHIR99021  and SU504 to reprogramming fibroblasts generates  expands and maintains cardiovascular progenitor cells (CPCs),643
Adult tissue-resident macrophages are seeded before birth.,1364
Adult tissue-resident macrophages are seeded before birth.,1364
Adult tissue-resident macrophages possess a self-renewing capacity.,1364
Adult tissue-resident macrophages stem from the embryonal yolk sac and fetal liver.,1364
Adult tissue-resident macrophages stem from the embryonal yolk sac and fetal liver.,3312
Aged patients are less susceptible to ischaemia/reperfusion injury.,196
Aged patients are more susceptible to ischaemia/reperfusion injury.,196
Aggravated inflammation is dependent on NLRP3 inflammasome activation.,499
Albendazole is used to treat soil-transmitted helminths.,213
Algerian physicians constitue the largest component of sub-Saharan Africa-trained physicians in the United States.,2394
Alirocumab treatment reduces apo(a) fractional clearance rate.,1211
Allogeneic mechanical circulatory support is not as effective as autologous mechanical circulatory support for treating acute myocardial infarction.,4720
Alteration of origin firing causes changes in termination zones of Okazaki fragments.,4513
Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.,3764
Amitriptyline is an effective treatment for chronic tension-type headaches.,1145
An M2-like phenotype in brown adipose tissue macrophages is quickly induced by cold exposure.,744
Androgenetic haploid mouse embryonic stem cells (ESCs) can be derived and genetically manipulated in vitro.,2206
Angiotensin converting enzyme inhibitors are associated with decreased risk for functional renal insufficiency.,1137
Anthrax spores are very difficult to dispose once they are dispersed.,4356
Anthrax spores remain deadly until affected areas are decontaminated.,4356
Antidepressants increase the severity of migraines.,2406
Antidepressants reduce the severity of migraines.,2406
Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,4227
Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,4227
Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.,936
Approximately 250 000 people are infected with human T-cell lymphotropic virus type 1 in the United Kingdom.,3600
Assessing treatment adherence is more beneficial to clinical practice than measuring routine outcomes.,912
Asymptomatic visual impairment screening in elderly populations leads to improved vision.,3853
At least 85% of patients exposed to radiation have activated markers of myofibroblasts.,3276
Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.,1807
Autophagy deficiency in the liver increases vulnerability to insulin resistance.,1151
B cells go though plasmablast differentiation and antibody production by continuous expression of EBI2.,2505
B3-Galectin decreases cell resistance to tyrosine kinase inhibitors (TKIs) by engaging the alternate KRAS-RalB signaling complex downstream of EGFR.,916
B3-Galectin increases cell resistance to tyrosine kinase inhibitors (TKIs) by engaging the alternate KRAS-RalB signaling complex downstream of EGFR.,916
BCL-2 activation antagonizes the apoptotic effects of c-Myc.,4570
BCL-2 promotes the apoptotic effects of c-Myc.,4570
BLM gene encodes RecQ-class DNA helicase.,2188
BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,1638
Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,5035
Bacteriophagaes MS2 and Qβ are members of the Leviviridae.,1263
Bariatric surgery increases rates of colorectal cancer.,1079
Bariatric surgery increases rates of postmenopausal breast cancer.,1079
Bariatric surgery leads to negative outcomes in mental health.,2883
Bariatric surgery leads to positive outcomes in mental health.,2883
Bariatric surgery reduces colorectal cancer.,1079
Bariatric surgery reduces postmenopausal breast cancer.,1079
Basophils promote disease development in patients with systemic lupus erythematosus (SLE).,2081
Bcp1 is a chaperone for Rpl23.,1452
Beta-band coherence is diminished for visible stimuli over invisible stimuli.,310
Beta-band coherence is enhanced for visible stimuli over invisible stimuli.,310
BiP is a general endoplasmic reticulum stress marker.,4288
Binding of p53 to enhancer regions (p53BERs) regulates the activity of p53 transcription and cell cycle arrest through the production of p53-dependent eRNAs.,1683
Birth-weight is negatively associated with breast cancer.,2613
Blocking the interaction between TDP-43 and respiratory complex I proteins ND3 and ND6 prevents TDP-43-induced neuronal loss.,2683
Bone Marrow (BM) transplantation is used to treat acute myeloid leukemia (AML),1910
Bone marrow cells don't contribute to adult macrophage compartments.,2103
British female students are bullied more than British male students.,2673
British male students are bullied more than British female students.,2673
Broadly HIV-1 Neutralizing Antibodies (bnAb) 10EB have no affinity for phospholipids.,826
C2 works synergistically with A-769662 to activate dephosphorylated AMPK.,2921
CCL19 is a ligand for CCR7.,406
CCL19 is predominantly present within dLNs.,406
CD28 initiates tonic signaling in conventional T cells  which causes an exhaustion phenotype and limited efficiency.,2820
CD28 signals regulate trafficking of murine auto-reactive T cells into target tissues.,453
CD44v6 is not associated with constitutive and reprogrammed cancer stem cells driving cancer metastasis.,1662
CDK6 shows impaired binding to loss-of-function variants of p18 INK4C.,1423
CDK6 shows improved binding to loss-of-function variants of p18 INK4C.,1423
CHOP is a general endoplasmic reticulum stress marker.,4288
COPI coatmer is involved in lipid homeostasis.,2253
COPI coatmer is involved in viral replication.,2253
CRP is positively correlated with postoperative mortality following Coronary Artery Bypass Graft (CABG) surgery.,2223
Ca2+ cycling controls whole-body energy homeostasis in beige fat.,2915
Ca2+ cycling is a UCP1-dependent thermogenic mechanism.,2915
Ca2+ cycling is a UCP1-independent thermogenic mechanism.,2915
Cancer cells can stimulate the accumulation of intra-tumoural myeloid-derived suppressor cells by promoting granulocyte colony stimulating factor production.,370
Cancer-associated fibroblasts (CAFs) are constituents of tumor microenvironments,1270
Cancer-associated fibroblasts (CAFs) have no known interaction with cancer cells in the formation and activation of CAFs.,1270
Cancer-associated fibroblasts (CAFs) interact with cancer cells to mediate formation and activation of CAFs.,1270
Cancers that initially benefit from epidermal growth factor receptor targeted therapies later become refractory through several mechanisms.,3940
Cardiac tissue-resident macrophages directly contribute to electrical activity.,946
Carriers of HNF4A mutations are at reduced risk for diabetes.,5054
Cell autonomous sex determination in somatic cells occurs in Galliformes.,788
Cellular clocks are associated with mitosis timing in NIH 3T3 cells.,411
Cellular clocks are not predictive of mitosis timing in NIH 3T3 cells.,411
Cellular differentiation of embryonic stem cells is accompanied by changes in replication timing  transcription and nuclear localization.,1457
Certain immunomodulator-human dialyzable leukocyte extract (hDLE) peptides are recognized by toll-like receptors (TLRs) on macrophages and dendritic cells.,3199
Charcoal is an effective treatment for acute paraquat poisoning.,1502
Charcoal shows no benefit for acute paraquat poisoning.,1502
Chemical injury represses transglutaminase 2 activity.,2212
Chenodeoxycholic acid treatment decreases brown adipose tissue activity.,281
Chenodeoxycholic acid treatment increases brown adipose tissue activity.,281
Chinese individuals with TT homozygosity in the MTHFR gene are less vulnerable to strokes caused by low levels of folate intake.,4563
Chinese individuals with TT homozygosity in the MTHFR gene are more vulnerable to strokes caused by low levels of folate intake.,4563
Chlamydia trachomatis is most prevalent in the UK among individuals in their 50s and 60s.,1085
Chlamydia trachomatis is most prevalent in the UK among sexually-experienced individuals aged 16 to 24.,1085
Cholesterol loading induces KLF4 expression in VSMCs  resulting in the expression of pro-inflammatory cytokines.,3276
Chronic HIV stimulation of B cells leads to the premature exhaustion of B cells.,1571
Cis-acting lncRNAs control the expression of genes that are positioned in the vicinity of their transcription sites.,2407
Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to disrupt the inflammatory cycle.,1901
Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to perpetuate the inflammatory cycle via induction of autoantibodies.,1901
Clathrin stabilizes the spindle fiber apparatus during mitosis.,376
Cnn1 recruitment varies with cell cycle timing.,3311
Cognitive behavioral therapy is an ineffective treatment for insomnia,1092
Combination nicotine replacement therapies with varenicline or bupropion are more effective after 12 weeks of reatment compared to varenicline monotherapy.,1939
Commelina yellow mottle virus (ComYMV) has three typical badnavirus ORFs  capable of encoding proteins 23  15  and 216 kD.,2370
Commelina yellow mottle virus' (ComYMV) genome consists of 2140 baise pairs.,2370
Comparative transcriptome analysis identified new platelet proteins with structural features suggesting a role in platelet function.,3686
Concentrations of SNV and CNV in stem-cell regulatory elements and binding sites of transcription factors in iPSC-lines are distinct from their founding cells.,899
Consumption of whole fruits increases the risk of type 2 diabetes.,363
Continued HHV-8 transmission among MSM in San Francisco may be explained by urogenital contact.,1038
Converting apoE4 to apoE3 by gene editing prevents the pathology associated with apoE4 in human iPSCderived neurons.,917
Converting apoE4 to apoE3 by gene editing worsens the pathology associated with apoE4 in human iPSCderived neurons.,917
Cost effectiveness evaluations based on cRCT data accurately reflect prices for patients in actual clinical practice.,2464
Cost effectiveness evaluations based on cRCT data lack external validity.,2464
Crossover hot spots are found within gene promoters in Saccharomyces cerevisiae.,1848
Cyclin A2 destruction is necessary to switch from unstable to stable kt-mt attachments in mitosis.,799
Cytochrome c is transferred from cytosol to the mitochondrial intermembrane space during apoptosis.,4671
Cytosolic proteins bind to iron-responsive elements on mRNAs coding for TFRC1.,629
DMS3 protein enables Pol V transcription in vivo.,2434
DRD1 proteins enable Pol V transcription in vivo.,2434
DUSP4 decreases apoptosis.,1410
DUSP4 downregulation deactivates the Ras-ERK pathway,1410
DUSP4 increases apoptosis.,1410
De novo assembly of sequence data has fewer specific contigs than unassembled sequence data.,1141
De novo assembly of sequence data has shorter contigs than unassembled sequence data.,1141
Decrease of p62 in prostate tumor stroma results in defective autophagy.,657
Decreased conversion of PGE 2 to PPARy ligand 15-ket-PGE 2 causes accumulation of PGE.,133
Decreased diastolic blood pressure (DBP) is associated with abdominal aortic aneurysm.,887
Deleting Raptor increases G-CSF levels.,370
Deletion of ATM and Rad3 related protein is not predictive of acute tissue loss.,4729
Deletion of ATM and Rad3 related protein leads to acute tissue loss.,4729
Deltex has no known interactions with eIF3f.,1652
Deltex interacts with eIF3. There is no known interaction between Deltex and elF3,1652
Depletion of T-helper 17 (Th17) cells during simian immunodeficiency virus (SIV) infection decreases dissemination of Salmonella Typhimurium from the gut.,4089
Depletion of T-helper 17 (Th17) cells during simian immunodeficiency virus (SIV) infection increases dissemination of Salmonella Typhimurium from the gut.,4089
Depletion of nitric oxide is responsible for vasospasm.,3701
Deregulation of HAND2 is a crucial step in endometrial carcinogenesis in mice.,322
Destination container port throughput(CPT) is negatively related to dengue virus (DENV-1) diffusion in air traffic shipments.,390
Destination container port throughput(CPT) is positively related to dengue virus (DENV-1) diffusion in air traffic shipments.,390
Dexamethasone increases risk of postoperative bleeding.,3438
Diabetes remission occurs less in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.,1296
Diabetes remission occurs more in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.,1296
Diabetic patients with acute coronary syndrome experience decreased short-term and long-term risk for bleeding events.,1420
Differentiated E2f-1  -2  -3 TKO cells in the intestine do not exhibit apoptosis.,797
Differentiation of progenitor cells to myeloid cells is skewed upon activation of insulin signaling.,1979
Differentiation of progenitor cells to myeloid cells is skewed when insulin signaling is suppressed.,1979
Diminished ovarian reserve is a reliable indicator of infertility in a non-infertile population.,2204
Distant CREs are important for transcriptional regulation.,2415
Distant CREs are less conserved among species.,2415
Drosophila supracellular actomyosin structures are found at boundaries in wing imaginal discs.,2096
Dscam1 acts as a hypervariable pattern-recognition receptor for the immune system.,1132
During non-homologous end joining  the ligation step is not as tolerant of disrepairs and other distortions when joining 3' of strand breaks as compared to 5' strand breaks.,2809
During non-homologous end joining  the ligation step is not as tolerant of disrepairs and other distortions when joining 5' of strand breaks as compared to 3' strand breaks.,2809
During the primary early antibody response activated B cells migrate toward the inner-and outer follicular areas where oxysterol accumulation is generated by stromal cells.,4626
EG7 tumors can be killed by systemic oxaliplatin primed CD8+ T cells from the tumor-draining lymph node cells.,1010
EGR2 is important to myelination of the peripheral nervous system.,279
ER-localized phosphatase Sac1 processes PI4P through coordination with OSBP and the endosome-localized protein sorting nexin 2.,112
ERAP1 SNPs are epistatic to HLA alleles for ankylosing spondylitis.,2304
Early patent ductus ateriosus (PDA) screening decreases in-hospital mortality.,3954
Early patent ductus ateriosus (PDA) screening increases in-hospital mortality.,3954
Ectopic expression of Sall4  Nanog  Esrrb  and Lin28 generates induced pluripotent stem cells from mouse embryonic fibroblasts more efficiently than other factor combinations.,1253
Egr2 regulates the homeostasis of B and T cells.,279
Egr3 regulates the homeostasis of B and T cells.,279
Eilat virus (EILV) produced in mosquitos elicits rapid and long-lasting neutralizing antibodies in nonhuman primates.,3673
Elevated cell-free mitochondrial DNA levels are associated with mortality.,273
Eliminating the last sporadic cases of malaria requires considerable funding.,3309
Emodin forms hydrogen bonds with residues involved in PGAM1 substrate binding.,2877
Energy balance requires hypothalamic glutamate neurotransmission.,4946
Enhanced early production of inflammatory chemokines damages viral control in the lung.,2898
Environmental factors can influence the development of breast cancer.,2832
Environmentally-induced senescence is mimicked in disease modeling by adding specific molecules to the culture system.,1945
Epidemiological disease burden from noncommunicable diseases is more prevalent in high economic settings.,2240
Ethanol stress increases the expression of IBP in bacteria.,203
Ethanol stress increases the expression of PSP in bacteria.,203
Ethanol stress increases the expression of SRL in bacteria.,203
Ethanol stress lowers the expression of PSP in bacteria.,203
Ethanol stress reduces the expression of SRL in bacteria.,203
Excess gestational weight gain is associated with obesity-related pregnancy outcomes.,1909
Exercise increases cancer mortality rates among Chinese citizens.,265
Exercise reduces cancer mortality rates among Chinese citizens.,265
Exhaustion of B cells contributes to poor Ab response in HIV-infected individuals.,1571
Exposure to fine particulate air pollution is unrelated to anxiety prevalence.,145
Expression of MSX2 is induced 3 hours after the addition of BMP4  which is earlier than T and CDX2.,1052
Expression of oncolytic virus antigens as peptides makes relapse more likely.,352
Expression of oncolytic virus antigens as peptides permits additional protection against relapse.,352
F4/80+ macrophages regulate mature osteoblast maintenance.,1249
FACT and other histone chaperone(s) compensate for Histone 2A (H2A)-histone 2B (H2B) dimer eviction during the histone exchange process.,1716
Female carriers of the Apolipoprotein E4 (APOE4) allele have decreased risk for dementia.,1164
Female carriers of the Apolipoprotein E4 (APOE4) allele have increased risk for Alzheimer's disease.,1164
Female carriers of the Apolipoprotein E4 (APOE4) allele have longer lifetime exposure to estrogen due to an increased reproductive period.,1164
Female carriers of the Apolipoprotein E4 (APOE4) allele have shorter lifetime exposure to estrogen due to a decreased reproductive period.,1164
Fibroblast Growth Factor is a ligand which signals through receptor tyrosine kinases.,2649
Fibroblast growth factor 21 protects against atherosclerosis by modulating adiponectin and SREBP2 levels.,1633
Flexible molecules experience less steric hindrance in the tumor microenviroment than rigid molecules.,1879
Folate and vitamin B12 levels influence the association between homocysteine and preeclampsia.,1529
For every 1 000 children with cerebral palsy  more than 300 of them are premature or underweight at birth.,4328
Forkhead 0 (fox0) transcription factors are involved in apoptosis.,2657
Forkhead 0 (fox0) transcription factors are involved in cellular differentiation.,2657
Formation of N-terminal pyroglutamate by glutamine cyclase (GC) competes with NTAQ1 for Nt-Gln substrates.,4510
FoxO3a activation in neuronal death is inhibited by reactive oxygen species (ROS).,4086
Foxk2 regulates autophagy genes in muscle cells and fibroblast cells.,1437
Foxp3 enables the expression of transcriptional regulators implicated in memory T cell development.,1650
Foxp3 represses the expression of transcriptional regulators implicated in memory T cell development.,1650
G-CSF increases the expansion and infiltration of MDSCs into tumors.,370
GATA3 regulates cell cycle progression in bone marrow hematopoietic stem cells.,1750
GATA3 regulates self-renewal capacity in bone marrow hematopoietic stem cells.,1750
Gastric infection with Helicobacter pylori decreases risk of gastric cancer in humans.,380
Gastric infection with Helicobacter pylori increases risk of gastric cancer in humans.,380
Gastric lavage is an effective treatment for acute paraquat poisoning.,2024
General exercise therapy is more effective than rotator cuff exercises in reducing pain and improving function of the shoulder.,729
General exercise therapy is more effective than scapular stabilizer exercises in reducing pain and improving function of the shoulder.,729
Genes involved in pre-mRNA splicing have a significant impact on genome stability.,2074
Genes regulated by Esrrb transcription factor are sensitive to Mbd3 function.,4179
Genetic deficiency of mast cells leads to decreased weight gain in a mouse model of diet-induced obesity.,110
Genetic deletion of JAM-A increases gut permeability.,4716
Genomic aberrations of metastases provide information for targeted therapy.,2967
Genomic sequences involved in alternative splicing responsible for Hutchinson-Gilford progeria syndrome (HGPS) are abundant in the ''progerinonly'' allele of Lmna knock-in models.,3338
Glial calcium waves influence seizures.,258
Glioblastoma multiforme (GBM) is characterized by extensive invasion  rapid growth  necrosis  and angiogenesis.,2083
Glucose restriction to 0.05% reduces RLS (replicative life span) by 20-40% in S. cerevisiae.,1310
Glycan adaptation involves insertion-deletion events.,776
Glycan adaptation is rarely observed in the B-cell repertoire.,776
Gpr124 increases BBB breakdown in mouse models of ischemic stroke.,1169
Gpr124 suppresses BBB breakdown in mouse models of ischemic stroke.,1169
Guanine nucleotide dissociation inhibitor (Rho-GDI) interacts with the p75 NTR death domain,2422
Guanine nucleotide exchange factors (GEFs) mediate RhoA activation in response to tensional forces on fibronectin-binding integrins.,1860
H.pylori-mediated gastric cancer occurs due to the accumulation of mutations in host epithelial cells.,3354
H4 G94P proteins induce chromatin assembly  which increases free histones.,2410
H4 G94P proteins induce degradation of free histones via Rad53-dependent mechanisms.,2410
H4 G94P proteins inhibit chromatin assembly  which decreases free histones.,2410
H4 G94P proteins suppress degradation of free histones via Rad53-dependent mechanisms.,2410
HAND2 methylation is a key step in early endometrial carcinogenesis.,322
HIV trans-activator protein (TAT) effectively transports large and small molecules across cellular membranes into larger populations of neurons.,1223
HNF4A mutations are associated with macrosomia in infancy.,5054
HOXB4 facilitates HSC expansion when co-cultured with HSCs.,2954
HOXB4 is a highly expressed component of cellular secretome from fetal liver cell populations.,2954
HSCT-T dosage may not be diagnostic if the onset of symptoms occurs less than 3 hours before AMI.,4423
Having a main partner improves HIV outcomes.,2694
Having a main partner worsens HIV outcomes.,2694
HbA1c consistently overestimates glycemic control in black individuals with Sickle cell trait (SCT).,3864
Headaches are correlated with cognitive impairment.,2784
Healthy volunteers exhibit rapid and transient increase of cellular ATP after being bolus-injected with fructose.,1849
Helicobacter pylori-induced aberrant NF-kB-dependent expression of activation-induced cytidine deaminase contributes to the mutagenesis of host DNA.,3354
Helminths interfere with immune system control of coinfections by microbial pathogens 16.,1345
Hematopoietic Stem Cell purification reaches purity rates above 90%.,2312
High levels of CRP lead to a higher risk of exacerbations in chronic obstructive pulmonary disease (COPD).,4130
Higher plasma levels of I-carnitine  when associated with trimethylamine N-oxide  are negatively correlated with cardiovascular events in humans.,2435
Higher plasma levels of I-carnitine  when associated with trimethylamine N-oxide  are positively correlated with cardiovascular events in humans.,2435
Homozygous deletion of murine Sbds gene from osterix-expressing mesenchymal stem and progenitor cells (MPCs) induces oxidative stress.,693
Human embryonic stem cells give rise to cell types from all three embryonic germ layers.,1798
Human embryonic stem cells give rise to cell types from the outer embryonic germ layer  but not the other two layers.,1798
Human embryonic stem cells have the capacity to give rise to differentiated progeny representative of all three embryonic germ layers.,1798
Hypocretin neurones suppress panicprone state in rats.,2583
Hypothalamic glutamate neurotransmission is unrelated to energy balance.,4946
IFI16 impedes STING phosphorylation and translocation  resulting in reduced activation of STING.,2964
IFIT1 speeds viral replication by allowing for the proliferation of mis-capped viral RNAs.,3559
IL-10 production by monocytes inhibits CD4 + T cell response.,1818
IL-6 signaling plays a major role in atherosclerotic cardiovascular disease.,2816
ITAM phosphorylation allows for the transfer of the T cell receptor (TCR) signal from the echo-domain to the cytoplasmic tail of the T cell receptor (TCR).,4336
IgA plasma cells that are specific for transglutaminase 2 are scarce in the duodenal mucosa of celiac disease patients when the disease is active.,267
Immune complex triggered cell death leads to extracellular release of nuclear DNA.,189
Immune complex triggered cell death leads to sequestration of oxidized mitochondrial DNA.,189
Immune responses in immune cells are geographically segregated.,617
Improvements in OER catalysts show stable activity over several hundred hours.,3006
In British Men  haplogroup I decreases risk of cardiovascular disease.,530
In British Men  haplogroup I increases risk of cardiovascular disease by 50%.,530
In S. cerevisiae  the absence of RNA surveillance pathways causes sensitivity to high iron conditions.,2592
In S. cerevisiae  the absence of RNA surveillance pathways reduces sensitivity to high iron conditions.,2592
In a naive state  blocking Wingless-Int-1 secretion from mouse embryonic stem cells inhibits self-renewal of the mouse embryonic stem cells.,3449
In breast cancer  the loss of myoepithelial cells promotes the transition of ductal carcinoma in situ to invasive carcinoma.,3036
In breast cancer  the loss of myoepithelial cells slows the transition of ductal carcinoma in situ to invasive carcinoma.,3036
In chronic viral infections or tumors  peptides that selectively inhibit PTPRS can be utilized to boost insufficient activity of pDCs.,854
In domesticated populations of Saccharomyces cerevisiae  segmental aneuploidy is very common.,1766
In domesticated populations of Saccharomyces cerevisiae  segmental aneuploidy occurs infrequently.,1766
In melanoma  anti-CTLA-4 treatment reinvigorates exhausted PD-1+Eomes+CD8 T cells.,879
In patients with congenital heart defects  β-blockers significantly improve clinical heart failure outcomes.,4383
In pediatric tissue  most T cells are naive T cell emigrants from the thymus.,3455
In rhesus macaques  daily subcutaneous injections of emtricitabine are ineffective at protecting against rectally transmitted simian-human immunodeficiency virus.,2351
In rhesus macaques  daily subcutaneous injections of tenofovir protects against rectally transmitted simian-human immunodeficiency virus.,2351
In the UK  drowning affects boys and girls equally.,4840
In transgenic mice harboring green florescent protein under the control of the Sox2 promoter  more than 50 percent of the cells with green florescent colocalize with cell proliferation markers.,2686
In young and middle-aged adults  current or remote uses of ADHD medications increase the risk of serious cardiovascular events.,1859
Incidence of 10/66 dementia is higher than the incidence of DSM-IV dementia.,2419
Incidence of 10/66 dementia is lower than the incidence of DSM-IV dementia.,2419
Incidence of heart failure increased by 10% in women since 1979.,2961
Incidence of sepsis has fallen substantially from 2009 to 2014.,927
Including pharmacists in rounding teams does not alter the incidence of adverse drug events (ADEs).,2031
Including pharmacists in rounding teams reduces the incidence of adverse drug events (ADEs).,2031
Increase of p62 in prostate tumor stroma results in defective autophagy.,657
Increased LDL receptors plays a role in the reduction of plasma Lp(a).,1211
Increased conversion of PGE 2 to PPARy ligand 15-ket-PGE 2 causes accumulation of PGE.,133
Increased diastolic blood pressure (DBP) is associated with abdominal aortic aneurysm.,887
Increased flux of microbial products provokes immune responses.,4716
Increased flux of microbial products suppresses immune responses.,4716
Increased lipolysis leads to higher P38 phosphorylation in adipose tissue.,4276
Increased microtubule acetylation exacerbates LRRK2 Roc-COR domain mutation induced locomotor deficits.,1676
Increased microtubule acetylation repairs interference of axonal transport caused by LRRK2 Roc-COR domain mutations.,1676
Increased microtubule acetylation worsens interference of axonal transport caused by LRRK2 Roc-COR domain mutations.,1676
Increased mobility of retrotransposons does not lead to mutation and higher tumorigenesis rates.,3
Increased mobility of retrotransposons is assosciated with mutation and higher tumorigenesis rates.,3
Increased purity of cytoplasmic membranes isolated from overexpressors is indicated by stronger spots for OmpF in 2D BN-PAGE gels.,1256
Increased vessel density along with a reduction in fibrosis improves the efficacy of chemotherapy treatments.,472
Individuals with Alzheimers who participate in six months of physical activity improve cognitive function for up to 18 months.,299
Individuals with low serum vitamin D concentrations have decreased risk of multiple sclerosis.,2687
Induced hepatic stem cells possess the potential to differentiate into cholangiocytic cells.,3000
Induced hepatic stem cells possess the potential to differentiate into hepatocytic cells.,3000
Induction of urokinase receptor signaling in podocytes causes foot process effacement and proteinuria.,2615
Inhibiting HDAC6 increases survival of mice with ARID1A mutated tumors.,1025
Inhibiting focal adhesion formation enables cells to convert mechanical strain into eventual scarring.,979
Inhibiting focal adhesion formation increases the rate at which cells convert mechanical strain into inflammation and fibrosis.,979
Inhibiting glucose-6-phospate dehydrogenase improves lipogenesis by deactivating LKB1-AMPK signaling.,306
Input from  mental and physical health care professionals is not effective at decreasing homelessness.,3786
Inside the body  falciparum parasites reproduce asexually.,1202
Insulin decreases risk of severe kidney failure.,2220
Insulin effects appetite via ventral tegmental neurons.,2511
Intake of folic acid (FA) and vitamin B6 (VB6) increases levels of homocysteine.,2100
Intake of folic acid (FA) and vitamin B6 (VB6) reduces levels of homocysteine.,2100
Integrated care is ineffective at tackling multiple comorbidities.,2463
Integrated care is successful at tackling multiple comorbidities.,2463
Integrating classroom-based collaborative learning with Web-based collaborative learning offers the best class performance.,2094
Interferon stimulated genes (ISGs) Irf1  Irg1  Ifi27  and Rsad2 encourage West Nile virus replication in cortical neurons.,1641
