id,para_id,label,title,abstract
38,2,15564022,shock wave treatment in medicine.," urology has long been the only medical field for shock waves in medicine. meanwhile shock waves have been used in orthopedics and traumatology to treat insertion tendinitis, avascular necrosis of the head of femur and other necrotic bone alterations"
39,3,15564022,shock wave treatment in medicine.," another field of shock wave application is the treatment of tendons, ligaments and bones on horses in veterinary medicine. in the present paper we discuss the basic theory and application of shock waves and its history in medicine"
40,4,15564022,shock wave treatment in medicine.," the idea behind using shock wave therapy for orthopedic diseases is the stimulation of healing in tendons, surrounding tissue and bones."
41,0,15564023,lessons learned from the edrecolomab story: how a checkered past became a checkered flag for monoclonal antibodies in colorectal cancer therapy.,nan
42,0,15564024,the role of radio- and chemotherapy in glioblastoma.,nan
43,0,15564025,pharmacokinetics of gemcitabine combined with trastuzumab in patients with advanced breast cancer.,combining the monoclonal antibody trastuzumab (tmab) with chemotherapy is a new strategy in treatment of advanced breast cancer in her+++ overexpressing patients.
44,0,15564026,dose-escalated conformal radiotherapy of glioblastomas -- results of a retrospective comparison applying radiation doses of 60 and 70 gy.,dose escalated three-dimensional conformal radiotherapy with 70 gy against glioblastomas was compared retrospectively with the standard scheme of 60 gy using 2-d-planning.
45,0,15564027,quality management for clinical trials within the german competence network paediatric oncology and haematology.,"the german 'competence network paediatric oncology and haematology' aims at improving the structure of paediatric oncology and haematology as a whole, focussing in particular on the quality of clinical trials and study co-ordinating centres. this comprises the following measures: (1) employment of research and trial assistants in order to improve the quality of documentation and study management in the participating hospitals"
46,1,15564027,quality management for clinical trials within the german competence network paediatric oncology and haematology.," (2) development of an internet portal to provide medical information for non-professionals, for patients and their families as well as for health professionals. (3) the project group 'central trial support' supports study centres during the process of writing and examining new treatment protocols so that they are in compliance with the good clinical practice criteria, formal criteria, legal requirements and statutory provisions"
47,2,15564027,quality management for clinical trials within the german competence network paediatric oncology and haematology., this group currently produces a structural standardisation of study protocols and case record forms in order to improve their usability. the 'competence network malignant lymphomas' is a project with similar aims and will be outlined for comparison
48,3,15564027,quality management for clinical trials within the german competence network paediatric oncology and haematology.,
49,0,15564028,increased feasibility of weekly epirubicin and paclitaxel as neoadjuvant chemotherapy for locally advanced breast carcinoma.,"primary systemic therapy (pst) with a combination of epirubicin and paclitaxel achieves high response rates in locally advanced breast cancer (labc), but considerable toxicity occurs and the patient's compliance is poor. in this open-label phase ii trial toxicity of a weekly administration schedule was evaluated"
50,1,15564028,increased feasibility of weekly epirubicin and paclitaxel as neoadjuvant chemotherapy for locally advanced breast carcinoma.,
51,0,15564029,adjuvant therapy with edrecolomab versus observation in stage ii colon cancer: a multicenter randomized phase iii study.,"in a phase iii study recruiting patients with stage ii colon cancer the effect of adjuvant therapy with edrecolomab, a murine monoclonal antibody to the cell-surface glycoprotein 17-1a, was compared to observation alone."
52,0,15564030,metastatic adrenal neuroblastoma in an adult.,"neuroblastoma (nb) is a common malignancy in children, but rarely occurs in adults. accepted unfavourable prognostic factors include age > 1 year, low histologic grade and advanced stage, mycn amplification, chromosomal aberrations, elevations of neuron specific enolase and lactate dehydrogenase, and increased catecholamine metabolites in urine or serum"
53,1,15564030,metastatic adrenal neuroblastoma in an adult.," in adults, abdomen/retroperitoneum are the primary sites and in children the adrenal gland."
54,0,15564032,prostate cancer relapse after therapy with curative intention: a diagnostic and therapeutic dilemma.,prostate cancer is the most common malignant disease and second in causes of cancer death among men in western europe and north america. despite improved surgical and irradiation techniques tumor relapse after curatively intended therapy is not uncommon
55,1,15564032,prostate cancer relapse after therapy with curative intention: a diagnostic and therapeutic dilemma.," due to the difficulty in discriminating local and systemic progression, it is often difficult to decide what this means for the patient and what kind of second-line treatment has to be given. modern imaging techniques (mri with endorectal coil, choline-pet-ct, prostascint-scan) are used for diagnosis of prostate cancer relapse"
56,2,15564032,prostate cancer relapse after therapy with curative intention: a diagnostic and therapeutic dilemma.," nevertheless, early detection of local tumor relapse and likewise the detection of disseminated tumor cells often fails. to differentiate between local and systemic progression, prognostic factors of the primary tumor (grading, surgical margins, infiltration of the seminal vesicles, lymph node metastases) and psa kinetics are used"
57,3,15564032,prostate cancer relapse after therapy with curative intention: a diagnostic and therapeutic dilemma.," the time from initial treatment to biochemical relapse and psa doubling time are of highest prognostic relevance. local progression allows second-line local treatment with potentially curative results (local irradiation after radical prostatectomy, salvage-surgery / cryotherapy / hifu after irradiation), while in the case of systemic progress a palliative systemic therapy (hormonal treatment, chemotherapy, bisphosphonates) is indicated"
58,4,15564032,prostate cancer relapse after therapy with curative intention: a diagnostic and therapeutic dilemma.," before deciding on the most appropriate therapy, prognostic factors and the patient's individual situation (co-morbidity, life expectancy, individual wishes) should be taken into account."
59,0,15564031,alk-positive neutrophil-rich variant of anaplastic large cell lymphoma diagnosed after head trauma.,anaplastic lymphoma kinase (alk) expression has not been described in neutrophil-rich anaplastic large cell lymphoma (nr-alcl).
60,0,15564033,human embryonic stem cells and therapeutic cloning.,"the remarkable potential of embryonic stem (es) cells is their ability to develop into many different cell types. es cells make it possible to treat patients by transplanting specialized healthy cells derived from them to repair damaged and diseased cells or tissues, known as ""stem cell therapy"""
61,1,15564033,human embryonic stem cells and therapeutic cloning.," however, the issue of immunocompatibility is one of considerable significance in es cell transplantation. one approach to overcome transplant rejection of human es (hes) cells is to derive hes cells from nuclear transfer of the patient's own cells"
62,2,15564033,human embryonic stem cells and therapeutic cloning.," this concept is known as ""therapeutic cloning"". in this review, we describe the derivations of es cells and cloned es cells by somatic cell nuclear transfer, and their potential applications in transplantation medicine"
63,3,15564033,human embryonic stem cells and therapeutic cloning.,
64,0,15564034,expression of nitric oxide synthase isoforms in the porcine ovary during follicular development.,"the expression of nitric oxide synthase (nos) isoforms in the ovaries of pigs was examined to study the involvement of nitric oxide, a product of nos activity, in the function of the ovary. western blot analysis detected three types of nos in the ovary, including constitutive neuronal nos (nnos), endothelial nos (enos) and inducible nos (inos); enos immunoreactivity was more intense compared with that of inos or nnos"
65,1,15564034,expression of nitric oxide synthase isoforms in the porcine ovary during follicular development.," immunohistochemical studies demonstrated the presence of nnos and enos in the surface epithelium, stroma, oocytes, thecal cells, and endothelial cells of blood vessels. positive immunoreactions for nnos and inos were detected in the granulosa cells from multilaminar and antral follicles, but not in those of unilaminar follicles"
66,2,15564034,expression of nitric oxide synthase isoforms in the porcine ovary during follicular development.," inos was detected in the surface epithelium, oocytes, and theca of multilaminar and antral follicles. taking all of the findings into consideration, the observed differential expression of the three nos isoforms in the ovary suggests a role for nitric oxide in modulating reproduction in pigs"
67,3,15564034,expression of nitric oxide synthase isoforms in the porcine ovary during follicular development.,
68,0,15564035,genotoxicity and toxicological effects of acrylamide on reproductive system in male rats.,"the toxicity of acrylamide was evaluated through mutagenicity of salmonella, chromosome aberration of chinese hamster lung fibroblasts, micronucleus formation in mice and reproductive toxicity in rats. based on ames test, acrylamide showed mutagenic potency for strains ta98 and ta100"
69,1,15564035,genotoxicity and toxicological effects of acrylamide on reproductive system in male rats.," moreover, both chromosomal aberration assay and micronucleus assay indicated that acrylamide might have genotoxic potency; the chromosomal aberration frequencies were observed to be proportional to acrylamide concentrations of 5-50 mm, and acrylamide significantly increased micronuclei in peripheral blood cells of mice at doses of higher than 72.5 mg/kg"
70,2,15564035,genotoxicity and toxicological effects of acrylamide on reproductive system in male rats.," male rats were treated with acrylamide at doses of 0, 5, 15, 30, 45, or 60 mg/kg/day for 5 consecutive days, and the toxicity of acrylamide was observed. in the group treated with the highest dose of acrylamide (60 mg/kg/day), the loss of body weight and reduced testis weight were observed"
71,3,15564035,genotoxicity and toxicological effects of acrylamide on reproductive system in male rats., also the epididymides weights were reduced significantly in all the groups treated with acrylamide. the number of sperms in cauda epididymidis decreased significantly in an acrylamide dose-dependent manner
72,4,15564035,genotoxicity and toxicological effects of acrylamide on reproductive system in male rats.," rats treated with 60 mg/kg/day of acrylamide showed several histopathological lesions in the seminiferous tubules. there were thickening and multiple layering of the tubular endothelium, and the formation of many multinucleated giant cells in seminiferous tubules"
73,5,15564035,genotoxicity and toxicological effects of acrylamide on reproductive system in male rats.," taken together, acrylamide not only causes the genotoxicity of eukaryotic cells and mice but also shows the toxicological effects on reproductive system in male rats."
74,0,15564036,comparison of a small volume of hypertonic saline solution and dextran 40 on hemodynamic alternations in conscious calves.,the hemodynamic effects of rapid intravenous (iv) administration of 10% dextran 40 in saline solution (d40) and 7.2% hypertonic saline solution (hss) in calves were compared
75,1,15564036,comparison of a small volume of hypertonic saline solution and dextran 40 on hemodynamic alternations in conscious calves.," calves received isotonic saline solution (iss), hss or d40 (3 calves/group) and were monitored of blood pressure, and cardiac output (co) for 180 min. hss and d40 infusions induced a significant increase in relative plasma volume reaching 134"
76,2,15564036,comparison of a small volume of hypertonic saline solution and dextran 40 on hemodynamic alternations in conscious calves.,9+/-2.8 and 125
77,3,15564036,comparison of a small volume of hypertonic saline solution and dextran 40 on hemodynamic alternations in conscious calves.,"0+/-1.9%, respectively at the end of fluid infusion"
78,4,15564036,comparison of a small volume of hypertonic saline solution and dextran 40 on hemodynamic alternations in conscious calves.," in the hss group, co, cardiac index (ci) and stroke volume (sv) remained constant at low levels after 90 minutes despite the maximal values of co, ci and sv at the end of infusion, reaching 21.0+/-6"
79,5,15564036,comparison of a small volume of hypertonic saline solution and dextran 40 on hemodynamic alternations in conscious calves.,"3 l/min (p<0.05), 177"
80,6,15564036,comparison of a small volume of hypertonic saline solution and dextran 40 on hemodynamic alternations in conscious calves.,8+/-14.2 ml/min/kg (p<0
81,7,15564036,comparison of a small volume of hypertonic saline solution and dextran 40 on hemodynamic alternations in conscious calves.,001) and 0.20+/-0
82,8,15564036,comparison of a small volume of hypertonic saline solution and dextran 40 on hemodynamic alternations in conscious calves.,"03 l/beat (at t=10 min, p<0.001), respectively"
83,9,15564036,comparison of a small volume of hypertonic saline solution and dextran 40 on hemodynamic alternations in conscious calves.," in contrast, ci and sv in the d40 group showed significant increases to 14.7+/-2"
84,10,15564036,comparison of a small volume of hypertonic saline solution and dextran 40 on hemodynamic alternations in conscious calves.,9 l/min and 153.5+/-17
85,11,15564036,comparison of a small volume of hypertonic saline solution and dextran 40 on hemodynamic alternations in conscious calves.,"2 ml/min/kg, respectively, at the end of fluid infusion. and those values remained constant at higher levels than those of the before infusions values throughout the experimental periods"
86,12,15564036,comparison of a small volume of hypertonic saline solution and dextran 40 on hemodynamic alternations in conscious calves.," positive effects for hemodynamic alternations of d40 in calf practice were milder and longer than those of hss. therefore, the d40 infusion should be explored as a possible treatment for dehydrated calves, since rapid infusion of d40 may be safe and more beneficial for rehydrating more than hss treatment"
87,13,15564036,comparison of a small volume of hypertonic saline solution and dextran 40 on hemodynamic alternations in conscious calves.,
88,0,15564037,identification and antigenic site analysis of foot-and-mouth disease virus from pigs and cattle in korea.,"from may to june 2002, a total of 16 foot-and mouth disease (fmd) outbreaks due to the serotype o virus, pan asia strain, were recorded in korea. the viruses were identified by antigen elisa, rt-pcr and sequence analysis"
89,1,15564037,identification and antigenic site analysis of foot-and-mouth disease virus from pigs and cattle in korea.," the overall nucleotide sequence divergence of the vp1 region among the 4 isolates in 2002 was 0 to 1.4%, but between o/skr/2002 and o/skr/2000 isolates was 1"
90,2,15564037,identification and antigenic site analysis of foot-and-mouth disease virus from pigs and cattle in korea.,9-4.9%
91,3,15564037,identification and antigenic site analysis of foot-and-mouth disease virus from pigs and cattle in korea.," phylogenetic analysis with the some known strains from east asian countries showed that the 4 korean isolates in 2002 formed one distinct cluster, which different from clusters of korean isolates in 2000, with in the same lineage of the me-sa topotype strains. deduced amino acid sequences around neutralizable antigenic site on vp1 site of o/skr/2002 isolates were aligned and compared with other strains"
92,4,15564037,identification and antigenic site analysis of foot-and-mouth disease virus from pigs and cattle in korea.," at the antigenic site 1, the replacements of the critical amino acid residues at position 144 from v to l and at position 152 from a to t were observed in o/skr/2002 viruses. for antigenic site 2 and 4, there were not significant variations in general"
93,5,15564037,identification and antigenic site analysis of foot-and-mouth disease virus from pigs and cattle in korea.," at the antigenic site 3, the substitutions of amino acid residues were present at positions 54 and 56 in o/skr/2002 isolates and an alternative residue i at position 54 are observed only at the sequence of o/skr/as/2002 (cow) virus. and the substitution (l-->p) of significant residue at position 144 was detected at the amino acid sequence of the o/skr/2002 (cow) virus"
94,6,15564037,identification and antigenic site analysis of foot-and-mouth disease virus from pigs and cattle in korea.,
95,0,15564038,immunogenicity of baculovirus expressed recombinant proteins of japanese encephalitis virus in mice.,"genes encoding for the premembrane and envelope (prme), envelope (e) and nonstructural protein (ns1) of japanese encephalitis virus (jev) were cloned. each protein was expressed in baculovirus expression system"
96,1,15564038,immunogenicity of baculovirus expressed recombinant proteins of japanese encephalitis virus in mice.," of the three proteins expressed in baculovirus system, only prme had hemagglutination activity. the prme (72 and 54 kda), e (54 kda) and ns1 (46 kda) proteins could be detected by western blotting in the recombinant virus infected cells"
97,2,15564038,immunogenicity of baculovirus expressed recombinant proteins of japanese encephalitis virus in mice., immunogenicity of the recombinant proteins obtained from infected spodoptera frugiperda (sf-9) cells was examined in mice. the 3 week-old icr mice immunized intraperitoneally with three recombinant proteins three times were challenged with a lethal jev
98,3,15564038,immunogenicity of baculovirus expressed recombinant proteins of japanese encephalitis virus in mice., a survival rate was increased from about 7.7% in unimmunized mice to 92
99,4,15564038,immunogenicity of baculovirus expressed recombinant proteins of japanese encephalitis virus in mice.,"3% in e+prme and only e groups. the complete protection was shown in prme and live vaccine inoculated groups, respectively"
100,5,15564038,immunogenicity of baculovirus expressed recombinant proteins of japanese encephalitis virus in mice.," we also measured neutralizing antibody and three immunoglobulin subtypes of igg1, igg2a and igg2b in the sera of mice before and after challenge. titers of igg1 antibodies were approximately two to three times higher than that of igg2b antibodies in all the immunized groups as compared to the control group"
101,6,15564038,immunogenicity of baculovirus expressed recombinant proteins of japanese encephalitis virus in mice.," however, igg2a antibody level somewhat increased after challenge, indicating t-helper type 1 (th1) cell response. the results of this study can provide useful information for developing efficacious subunit vaccine against jev"
102,7,15564038,immunogenicity of baculovirus expressed recombinant proteins of japanese encephalitis virus in mice.,
103,0,15564039,serum interferon-gamma and interleukins-6 and -8 during infection with fasciola gigantica in cattle and buffaloes.,"this study investigated the presence of cytokines interferon (ifn)-gamma, interleukins (il) -6 and -8 in serum of cattle and buffaloes infected with fasciola gigantica from one to 16 weeks post-infection to determine their t cell response during infection. the concentration of these cytokines was determined by sandwich enzyme-linked immunosorbent assay (elisa)"
104,1,15564039,serum interferon-gamma and interleukins-6 and -8 during infection with fasciola gigantica in cattle and buffaloes., no ifn-gamma was detected in these animals while il-6 was elevated from one to 16 weeks postinfection. levels of il-8 were also elevated in infected buffaloes from one to 16 weeks post-infection
105,2,15564039,serum interferon-gamma and interleukins-6 and -8 during infection with fasciola gigantica in cattle and buffaloes., a predominantly t helper (th) 2 response which started early in the infection was apparently present in cattle and buffaloes in this study which was characterised by il-6. il-8 production could be another mechanism of immune response in buffaloes during infection with f
106,3,15564039,serum interferon-gamma and interleukins-6 and -8 during infection with fasciola gigantica in cattle and buffaloes., gigantica.
107,0,15564040,molecular cloning of the cdna of canine homeodomain-interacting protein kinase 2.,the research of p53 is being conducted to find the mechanisms of tumorigenesis and to treat various cancers. homeodomain-interacting protein kinase2 (hipk2) is an important factor to regulate p53 and to increase the stability of p53
108,1,15564040,molecular cloning of the cdna of canine homeodomain-interacting protein kinase 2.," activation of hipk2 leads to the selective phosphorylation of p53, resulting in growth arrest and the enhancement of apoptosis. in this study, the canine hipk2 cdna fragments were obtained, and their overlapping regions were aligned to give a total sequence of 3489 bp"
109,2,15564040,molecular cloning of the cdna of canine homeodomain-interacting protein kinase 2.," the canine hipk2 cdna (genbank accession number; ay800385) shares 93% and 90% sequence identity with those of human and mouse hipk2, respectively. the canine hipk2 cdna contains an open reading frame encoding 1163 amino acid residues and the predicted amino acid sequence has 98% and 96% identity with those of human and mouse, respectively"
110,3,15564040,molecular cloning of the cdna of canine homeodomain-interacting protein kinase 2.," the deduced amino acid sequence of canine hipk2 has also all domains' sites compared with human and mouse hipk2. therefore, these structural similarities suggested that the canine hipk2 shares the basic biological functions that hipk2 exhibit in other species"
111,4,15564040,molecular cloning of the cdna of canine homeodomain-interacting protein kinase 2.,
112,0,15564041,pharmacokinetics and dosage regimen of ceftriaxone in e. coli lipopolysaccharide induced fever in buffalo calves.,the present study was planned to investigate the pharmacokinetics of ceftriaxone in experimentally induced febrile buffalo calves (n=5). the fever was induced by intravenous injection of e
113,1,15564041,pharmacokinetics and dosage regimen of ceftriaxone in e. coli lipopolysaccharide induced fever in buffalo calves.,"coli lipopolysaccaride (1 microgram/kg). to study the pharmacokinetics, ceftriaxone was administered at the dose rate of 10 mg/kg body wt"
114,2,15564041,pharmacokinetics and dosage regimen of ceftriaxone in e. coli lipopolysaccharide induced fever in buffalo calves.," in all animals. at 1 min, the peak concentration of ceftriaxone was 79"
115,3,15564041,pharmacokinetics and dosage regimen of ceftriaxone in e. coli lipopolysaccharide induced fever in buffalo calves.,4+/-2.37 microgram/ml and the drug was detected up to 6 h
116,4,15564041,pharmacokinetics and dosage regimen of ceftriaxone in e. coli lipopolysaccharide induced fever in buffalo calves., the elimination rate constant was 0.35+/-0
117,5,15564041,pharmacokinetics and dosage regimen of ceftriaxone in e. coli lipopolysaccharide induced fever in buffalo calves.,02 /h and elimination half-life was 2.04+/-0
118,6,15564041,pharmacokinetics and dosage regimen of ceftriaxone in e. coli lipopolysaccharide induced fever in buffalo calves.,14 h. the apparent volume of distribution (vd(area)) and total body clearance (cl(b)) were 1
119,7,15564041,pharmacokinetics and dosage regimen of ceftriaxone in e. coli lipopolysaccharide induced fever in buffalo calves.,21+/-0.15 l/kg and 0
120,8,15564041,pharmacokinetics and dosage regimen of ceftriaxone in e. coli lipopolysaccharide induced fever in buffalo calves.,"41+/-0.03 l/kg/h, respectively"
121,9,15564041,pharmacokinetics and dosage regimen of ceftriaxone in e. coli lipopolysaccharide induced fever in buffalo calves.," to maintain a minimum therapeutic concentration of 1 microgram/kg, a satisfactory dosage regimen of cefriaxone in febrile buffalo calves is 19 mg/kg followed by 18 mg/kg at 8 h intervals."
122,0,15564042,"identification and prevalence of ehrlichia chaffeensis infection in haemaphysalis longicornis ticks from korea by pcr, sequencing and phylogenetic analysis based on 16s rrna gene.","genomic dnas extracted from 1,288 haemaphysalis longicornis ticks collected from grass vegetation and various animals from nine provinces of korea were subjected to screening by genus-specific (ehrlichia spp. or anaplasma spp"
123,1,15564042,"identification and prevalence of ehrlichia chaffeensis infection in haemaphysalis longicornis ticks from korea by pcr, sequencing and phylogenetic analysis based on 16s rrna gene.",) real-time taqman pcr and speciesspecific (e. chaffeensis) nested-pcr based on amplification of 16s rrna gene fragments
124,2,15564042,"identification and prevalence of ehrlichia chaffeensis infection in haemaphysalis longicornis ticks from korea by pcr, sequencing and phylogenetic analysis based on 16s rrna gene."," in all, 611 (47.4%) ticks tested positive for genus-specific amplification of 116 bp fragment of 16s rrna of ehrlichia spp"
125,3,15564042,"identification and prevalence of ehrlichia chaffeensis infection in haemaphysalis longicornis ticks from korea by pcr, sequencing and phylogenetic analysis based on 16s rrna gene."," or anaplasma spp. subsequently, 396 bp e"
126,4,15564042,"identification and prevalence of ehrlichia chaffeensis infection in haemaphysalis longicornis ticks from korea by pcr, sequencing and phylogenetic analysis based on 16s rrna gene.", chaffeensis-specific fragment of 16s rrna was amplified from 4.2% (26/611) tick samples
127,5,15564042,"identification and prevalence of ehrlichia chaffeensis infection in haemaphysalis longicornis ticks from korea by pcr, sequencing and phylogenetic analysis based on 16s rrna gene."," the comparison of the nucleotide sequence of 16s rrna gene from one tick (ec-pghl, genebank accession number ay35042) with the sequences of 20 e. chaffeensis strains available in the database showed that ec-pghl was 100% identical or similar to the arkansas (af416764), the sapulpa (u60476) and the 91he17 (u23503) strains"
128,6,15564042,"identification and prevalence of ehrlichia chaffeensis infection in haemaphysalis longicornis ticks from korea by pcr, sequencing and phylogenetic analysis based on 16s rrna gene.", the phylogenetic analysis also revealed that the e. chaffeensis ec-pghl formed a single cluster with the above strains
129,7,15564042,"identification and prevalence of ehrlichia chaffeensis infection in haemaphysalis longicornis ticks from korea by pcr, sequencing and phylogenetic analysis based on 16s rrna gene.", this is the first study to report molecular detection and phylogenetic analysis of e. chaffeensis from h
130,8,15564042,"identification and prevalence of ehrlichia chaffeensis infection in haemaphysalis longicornis ticks from korea by pcr, sequencing and phylogenetic analysis based on 16s rrna gene.", longicornis ticks in korea. the implicit significance of e
131,9,15564042,"identification and prevalence of ehrlichia chaffeensis infection in haemaphysalis longicornis ticks from korea by pcr, sequencing and phylogenetic analysis based on 16s rrna gene.", chaffeensis infection in h. longicornis ticks in korea is discussed
132,10,15564042,"identification and prevalence of ehrlichia chaffeensis infection in haemaphysalis longicornis ticks from korea by pcr, sequencing and phylogenetic analysis based on 16s rrna gene.",
133,0,15564043,exploration of immunoblot profiles of neospora caninum probed with different bovine immunoglobulin classes.,the present study was attempted to compare the neospora caninum (n. caninum) antigenic bands recognized by different bovine immunoglobulin classes
